Exchange,Pair,Category,Token CEX,Token Name,Ticker,Market Cap Today,FDV Today,Depth +2%,Depth -2%,Bid Ask Spread Percentage,24H Volume (USD)
Bybit,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Metaverse, Binance Launchpad, Gaming Platform, YZi Labs (Prev. Binance Labs) Portfolio, Sequoia Capital Portfolio",hooked-protocol,Hooked Protocol,HOOK,31828512,55514846.0,13515.3147788208,11353.553452711192,0.27,191690.0
Gate.io,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Metaverse, Binance Launchpad, Gaming Platform, YZi Labs (Prev. Binance Labs) Portfolio, Sequoia Capital Portfolio",hooked-protocol,Hooked Protocol,HOOK,31828512,55514846.0,58218.36288590927,41924.28407961763,0.05,639831.0
MEXC,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Metaverse, Binance Launchpad, Gaming Platform, YZi Labs (Prev. Binance Labs) Portfolio, Sequoia Capital Portfolio",hooked-protocol,Hooked Protocol,HOOK,31828512,55514846.0,67039.98423238857,80399.70142306547,0.12,1528004.0
Bitget,USDT,"Entertainment, NFT, BNB Chain Ecosystem, Solana Ecosystem, Doodles LLC, Airdropped Tokens by NFT Projects, Binance Alpha Spotlight, Made in USA",doodles,Doodles,DOOD,31906620,40905923.0,14604.604402995454,10938.600188411316,0.5,238196.0
Bybit,USDT,"Entertainment, NFT, BNB Chain Ecosystem, Solana Ecosystem, Doodles LLC, Airdropped Tokens by NFT Projects, Binance Alpha Spotlight, Made in USA",doodles,Doodles,DOOD,31906620,40905923.0,22087.135753002178,22751.549118384555,0.1,167410.0
Gate.io,USDT,"Entertainment, NFT, BNB Chain Ecosystem, Solana Ecosystem, Doodles LLC, Airdropped Tokens by NFT Projects, Binance Alpha Spotlight, Made in USA",doodles,Doodles,DOOD,31906620,40905923.0,22916.91117994086,16495.702800844392,0.02,1021777.0
KuCoin,USDT,"Entertainment, NFT, BNB Chain Ecosystem, Solana Ecosystem, Doodles LLC, Airdropped Tokens by NFT Projects, Binance Alpha Spotlight, Made in USA",doodles,Doodles,DOOD,31906620,40905923.0,3549.002695574432,2702.581545979752,0.49,61145.0
MEXC,USDT,"Entertainment, NFT, BNB Chain Ecosystem, Solana Ecosystem, Doodles LLC, Airdropped Tokens by NFT Projects, Binance Alpha Spotlight, Made in USA",doodles,Doodles,DOOD,31906620,40905923.0,3134.4971733590464,836.1402203762043,0.22,93237.0
MEXC,USDC,"Entertainment, NFT, BNB Chain Ecosystem, Solana Ecosystem, Doodles LLC, Airdropped Tokens by NFT Projects, Binance Alpha Spotlight, Made in USA",doodles,Doodles,DOOD,31906620,40905923.0,692.1974657520741,365.1778052451496,0.57,54802.0
Binance,USDT,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Zero Knowledge (ZK), Real World Assets (RWA), Energi Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, Privacy Blockchain",dusk-network,DUSK,DUSK,31689270,31689270.0,65476.89100450627,61750.75822607348,0.15,654577.0
Bitget,USDT,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Zero Knowledge (ZK), Real World Assets (RWA), Energi Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, Privacy Blockchain",dusk-network,DUSK,DUSK,31689270,31689270.0,65735.89402734075,76817.12995394484,0.32,58664.0
Gate.io,USDT,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Zero Knowledge (ZK), Real World Assets (RWA), Energi Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, Privacy Blockchain",dusk-network,DUSK,DUSK,31689270,31689270.0,53157.93162857465,65033.469706105054,0.13,9580.72
KuCoin,USDT,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Zero Knowledge (ZK), Real World Assets (RWA), Energi Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, Privacy Blockchain",dusk-network,DUSK,DUSK,31689270,31689270.0,22387.485217472888,21182.687928358067,0.06,49994.0
MEXC,USDT,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Zero Knowledge (ZK), Real World Assets (RWA), Energi Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, Privacy Blockchain",dusk-network,DUSK,DUSK,31689270,31689270.0,121524.18251214243,134315.21778571716,0.09,424775.0
MEXC,USDT,,bityuan,Bityuan,BTY,31827302,31827403.0,1157.909965319448,779.3540154056981,0.02,99242.0
Binance,USDT,"BNB Chain Ecosystem, Meme, Dog-Themed, Binance Alpha Spotlight, Four.meme Ecosystem",czs-dog,CZ's Dog,BROCCOLI,31132462,31132462.0,32134.250636384186,31121.437672247634,0.04,11819941.0
Binance,USDC,"BNB Chain Ecosystem, Meme, Dog-Themed, Binance Alpha Spotlight, Four.meme Ecosystem",czs-dog,CZ's Dog,BROCCOLI,31132462,31132462.0,23097.401827234,15355.924313341486,0.19,773441.0
Bitget,USDT,"BNB Chain Ecosystem, Meme, Dog-Themed, Binance Alpha Spotlight, Four.meme Ecosystem",czs-dog,CZ's Dog,BROCCOLI,31132462,31132462.0,58287.85491705609,48755.83199111081,0.31,861303.0
Gate.io,USDT,"BNB Chain Ecosystem, Meme, Dog-Themed, Binance Alpha Spotlight, Four.meme Ecosystem",czs-dog,CZ's Dog,BROCCOLI,31132462,31132462.0,17269.370374986258,9470.93574962239,0.16,514680.0
MEXC,USDT,"BNB Chain Ecosystem, Meme, Dog-Themed, Binance Alpha Spotlight, Four.meme Ecosystem",czs-dog,CZ's Dog,BROCCOLI,31132462,31132462.0,52147.89335745804,53270.79035645376,0.03,710392.0
Binance,USDT,"Ethereum Ecosystem, Stablecoin Issuer, Governance",ampleforth-governance-token,Ampleforth Governance,FORTH,31495134,41883547.0,75181.38320116916,48540.836955243336,0.04,763090.0
Gate.io,USDT,"Ethereum Ecosystem, Stablecoin Issuer, Governance",ampleforth-governance-token,Ampleforth Governance,FORTH,31495134,41883547.0,30573.587957082917,39330.63115047108,0.04,182518.0
KuCoin,USDT,"Ethereum Ecosystem, Stablecoin Issuer, Governance",ampleforth-governance-token,Ampleforth Governance,FORTH,31495134,41883547.0,5467.261001762946,5689.627347936876,0.1,26459.0
MEXC,USDT,"Ethereum Ecosystem, Stablecoin Issuer, Governance",ampleforth-governance-token,Ampleforth Governance,FORTH,31495134,41883547.0,32429.410090429577,23737.56925294958,0.07,252967.0
Gate.io,USDT,"Smart Contract Platform, BNB Chain Ecosystem, Layer 2 (L2)",bitcoinzk-zyra,BitcoinZK,ZYRA,31435853,125743412.0,792.7037140634469,11167.632190277809,0.77,882634.0
Bitget,USDT,"Artificial Intelligence (AI), Music, SocialFi, NFT, BNB Chain Ecosystem, DePIN, Base Ecosystem",limewire-token,LimeWire,LMWR,31240301,53671240.0,9963.98366243637,13734.73071278786,0.01,94257.0
Bybit,USDT,"Artificial Intelligence (AI), Music, SocialFi, NFT, BNB Chain Ecosystem, DePIN, Base Ecosystem",limewire-token,LimeWire,LMWR,31240301,53671240.0,21923.61659518601,22185.31008915315,0.01,163274.0
Gate.io,USDT,"Artificial Intelligence (AI), Music, SocialFi, NFT, BNB Chain Ecosystem, DePIN, Base Ecosystem",limewire-token,LimeWire,LMWR,31240301,53671240.0,23487.265411271277,13898.1434052899,0.01,496357.0
KuCoin,USDT,"Artificial Intelligence (AI), Music, SocialFi, NFT, BNB Chain Ecosystem, DePIN, Base Ecosystem",limewire-token,LimeWire,LMWR,31240301,53671240.0,20808.845964898355,15371.524437630842,0.06,117103.0
MEXC,USDT,"Artificial Intelligence (AI), Music, SocialFi, NFT, BNB Chain Ecosystem, DePIN, Base Ecosystem",limewire-token,LimeWire,LMWR,31240301,53671240.0,8274.031112058257,8241.555984102582,0.01,71230.0
Binance,USDT,"Smart Contract Platform, Ethereum Ecosystem, DePIN, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, Sequoia Capital Portfolio, Blockchain Capital Portfolio, Made in USA",orchid-protocol,Orchid Protocol,OXT,31207730,52756333.0,45648.95023832408,56295.01189587575,0.37,791804.0
Bitget,USDT,"Smart Contract Platform, Ethereum Ecosystem, DePIN, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, Sequoia Capital Portfolio, Blockchain Capital Portfolio, Made in USA",orchid-protocol,Orchid Protocol,OXT,31207730,52756333.0,29020.412113278362,33668.571912091196,0.02,124319.0
Gate.io,USDT,"Smart Contract Platform, Ethereum Ecosystem, DePIN, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, Sequoia Capital Portfolio, Blockchain Capital Portfolio, Made in USA",orchid-protocol,Orchid Protocol,OXT,31207730,52756333.0,57461.92200001453,55883.41182996726,0.08,56212.0
KuCoin,USDT,"Smart Contract Platform, Ethereum Ecosystem, DePIN, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, Sequoia Capital Portfolio, Blockchain Capital Portfolio, Made in USA",orchid-protocol,Orchid Protocol,OXT,31207730,52756333.0,28156.5463673339,18582.111335621503,0.17,32340.0
MEXC,USDT,"Smart Contract Platform, Ethereum Ecosystem, DePIN, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, Sequoia Capital Portfolio, Blockchain Capital Portfolio, Made in USA",orchid-protocol,Orchid Protocol,OXT,31207730,52756333.0,105937.72104443231,127836.31385496422,0.27,489293.0
